,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
0,0.08,0.111,0.174,0.209,0.129,0.224
1,0.298,0.241,0.147,0.14,0.231,0.013
2,0.306,0.159,0.162,0.153,0.153,0.151
3,0.328,0.135,0.185,0.031,0.125,0.181
4,0.328,0.162,0.196,0.168,0.125,0.163
5,0.341,0.13,0.194,0.152,0.131,0.153
6,0.34,0.137,0.203,0.206,0.124,0.142
7,0.356,0.147,0.188,0.339,0.055,0.13
8,0.346,0.144,0.194,0.136,0.121,0.135
9,0.38,0.133,0.196,0.143,0.115,0.126
10,0.361,0.119,0.181,0.133,0.121,0.202
11,0.345,0.127,0.18,0.12,0.118,0.145
12,0.331,0.104,0.177,0.112,0.126,0.139
13,0.305,0.089,0.159,0.17,0.118,0.189
14,0.321,0.087,0.154,0.124,0.125,0.207
15,0.285,0.175,0.163,0.142,0.132,0.206
16,0.306,0.08,0.156,0.172,0.15,0.244
17,0.282,0.078,0.158,0.19,0.118,0.216
18,0.248,0.36,0.151,0.167,0.128,0.202
19,0.235,0.071,0.148,0.212,0.148,0.244
20,0.244,0.068,0.146,0.159,0.147,0.222
21,0.292,0.096,0.125,0.189,0.147,0.219
22,0.277,0.103,0.129,0.204,0.144,0.208
23,0.286,0.089,0.141,0.202,0.17,0.192
24,0.301,0.144,0.144,0.204,0.156,0.174
25,0.282,0.178,0.154,0.201,0.138,0.167
26,0.319,0.121,0.159,0.167,0.145,0.14
27,0.296,0.166,0.164,0.154,0.143,0.147
28,0.313,0.169,0.17,0.148,0.149,0.178
29,0.288,0.211,0.168,0.148,0.15,0.149
30,0.298,0.174,0.179,0.138,0.129,0.13
31,0.287,0.167,0.175,0.155,0.118,0.124
32,0.298,0.145,0.182,0.18,0.121,0.128
33,0.286,0.149,0.189,0.145,0.116,0.146
34,0.266,0.158,0.177,0.132,0.115,0.128
35,0.262,0.153,0.194,0.129,0.117,0.12
36,0.234,0.16,0.21,0.126,0.153,0.119
