,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
0,3.0,4.0,,3.0,2.0,3.0
1,4.0,,4.0,4.0,4.0,
2,3.0,3.0,4.0,2.0,4.0,3.0
3,3.0,2.0,4.0,,4.0,3.0
4,3.0,3.0,4.0,3.0,4.0,3.0
5,3.0,3.0,4.0,3.0,4.0,4.0
6,4.0,2.0,4.0,3.0,2.0,4.0
7,3.0,2.0,4.0,,2.0,4.0
8,3.0,2.0,4.0,4.0,4.0,4.0
9,4.0,2.0,4.0,4.0,,4.0
10,5.0,3.0,4.0,4.0,4.0,3.0
11,4.0,3.0,4.0,4.0,4.0,4.0
12,4.0,2.0,4.0,4.0,3.0,4.0
13,4.0,3.0,4.0,3.0,,3.0
14,3.0,4.0,4.0,3.0,3.0,3.0
15,4.0,,4.0,4.0,3.0,3.0
16,3.0,2.0,4.0,3.0,2.0,3.0
17,3.0,3.0,3.0,3.0,3.0,3.0
18,4.0,4.0,3.0,4.0,2.0,3.0
19,4.0,2.0,4.0,3.0,3.0,3.0
20,4.0,2.0,4.0,2.0,3.0,3.0
21,3.0,3.0,4.0,3.0,2.0,3.0
22,2.0,2.0,4.0,3.0,3.0,3.0
23,5.0,,4.0,3.0,3.0,3.0
24,3.0,2.0,4.0,3.0,3.0,3.0
25,5.0,3.0,2.0,3.0,3.0,2.0
26,3.0,3.0,5.0,3.0,2.0,3.0
27,3.0,2.0,4.0,2.0,2.0,3.0
28,3.0,3.0,4.0,3.0,,3.0
29,3.0,3.0,3.0,4.0,,4.0
30,3.0,2.0,3.0,3.0,4.0,5.0
31,3.0,2.0,3.0,3.0,4.0,5.0
32,3.0,2.0,4.0,2.0,4.0,4.0
33,3.0,2.0,3.0,6.0,4.0,4.0
34,3.0,3.0,4.0,4.0,,3.0
35,3.0,3.0,3.0,3.0,,4.0
36,3.0,3.0,4.0,4.0,2.0,3.0
37,3.0,3.0,4.0,4.0,3.0,3.0
38,3.0,4.0,4.0,3.0,4.0,2.0
39,3.0,4.0,4.0,6.0,4.0,3.0
40,4.0,4.0,3.0,3.0,2.0,4.0
41,4.0,4.0,3.0,4.0,3.0,4.0
42,3.0,4.0,3.0,4.0,3.0,4.0
43,4.0,5.0,3.0,2.0,3.0,4.0
44,3.0,5.0,3.0,5.0,3.0,4.0
45,3.0,5.0,3.0,4.0,3.0,4.0
46,3.0,4.0,3.0,4.0,3.0,5.0
47,3.0,5.0,3.0,4.0,4.0,4.0
48,3.0,5.0,3.0,4.0,3.0,3.0
49,3.0,,3.0,4.0,2.0,3.0
50,2.0,5.0,3.0,4.0,2.0,3.0
51,2.0,,2.0,3.0,2.0,2.0
52,2.0,,3.0,4.0,2.0,4.0
53,3.0,,2.0,5.0,3.0,2.0
54,2.0,4.0,3.0,5.0,2.0,3.0
55,2.0,4.0,2.0,4.0,2.0,2.0
56,2.0,3.0,3.0,2.0,3.0,
57,2.0,4.0,3.0,4.0,3.0,3.0
58,2.0,4.0,3.0,2.0,3.0,3.0
59,3.0,4.0,3.0,2.0,2.0,4.0
60,2.0,3.0,3.0,3.0,4.0,7.0
61,2.0,4.0,3.0,6.0,2.0,3.0
62,3.0,4.0,3.0,3.0,4.0,3.0
63,3.0,4.0,3.0,2.0,2.0,3.0
64,3.0,4.0,4.0,3.0,2.0,3.0
65,2.0,4.0,3.0,3.0,3.0,3.0
66,3.0,4.0,3.0,4.0,3.0,3.0
67,3.0,5.0,3.0,3.0,3.0,4.0
68,3.0,5.0,3.0,4.0,3.0,3.0
69,3.0,4.0,3.0,2.0,3.0,4.0
70,3.0,4.0,3.0,3.0,3.0,4.0
71,4.0,4.0,3.0,3.0,4.0,3.0
72,2.0,4.0,2.0,3.0,3.0,3.0
73,3.0,4.0,3.0,3.0,,3.0
74,3.0,3.0,3.0,3.0,2.0,4.0
75,2.0,3.0,2.0,3.0,4.0,7.0
76,4.0,4.0,2.0,3.0,3.0,4.0
77,2.0,4.0,2.0,4.0,4.0,3.0
78,2.0,3.0,3.0,7.0,4.0,5.0
79,3.0,3.0,3.0,4.0,4.0,6.0
80,3.0,3.0,3.0,3.0,3.0,6.0
81,3.0,3.0,3.0,3.0,4.0,4.0
82,3.0,3.0,3.0,3.0,3.0,4.0
83,3.0,3.0,3.0,3.0,3.0,6.0
84,2.0,3.0,3.0,3.0,4.0,3.0
85,3.0,3.0,3.0,4.0,3.0,5.0
86,3.0,3.0,3.0,2.0,3.0,4.0
87,3.0,3.0,3.0,3.0,3.0,6.0
88,3.0,3.0,3.0,4.0,,6.0
89,3.0,3.0,3.0,4.0,4.0,5.0
90,3.0,4.0,3.0,7.0,3.0,3.0
91,6.0,3.0,3.0,3.0,3.0,3.0
92,3.0,4.0,3.0,6.0,4.0,4.0
93,3.0,3.0,3.0,5.0,4.0,3.0
94,3.0,3.0,3.0,4.0,5.0,4.0
95,3.0,3.0,3.0,7.0,2.0,4.0
96,3.0,3.0,2.0,6.0,,2.0
97,3.0,3.0,,4.0,2.0,6.0
98,3.0,3.0,3.0,4.0,3.0,5.0
99,3.0,4.0,3.0,6.0,4.0,5.0
100,2.0,3.0,2.0,4.0,2.0,3.0
101,4.0,4.0,2.0,4.0,3.0,4.0
102,7.0,4.0,,5.0,2.0,7.0
103,6.0,4.0,2.0,4.0,,5.0
104,5.0,4.0,2.0,2.0,,5.0
105,3.0,4.0,2.0,4.0,2.0,5.0
106,3.0,4.0,3.0,5.0,2.0,3.0
107,,4.0,2.0,2.0,3.0,3.0
108,7.0,4.0,2.0,4.0,3.0,3.0
109,3.0,4.0,2.0,2.0,3.0,4.0
110,3.0,4.0,2.0,7.0,,3.0
111,3.0,4.0,2.0,2.0,2.0,4.0
112,4.0,4.0,2.0,3.0,2.0,5.0
113,4.0,4.0,2.0,3.0,3.0,3.0
114,3.0,5.0,2.0,5.0,3.0,6.0
115,3.0,4.0,2.0,2.0,3.0,3.0
116,4.0,5.0,2.0,3.0,3.0,5.0
117,3.0,5.0,3.0,6.0,4.0,4.0
118,4.0,5.0,3.0,2.0,4.0,4.0
119,3.0,4.0,2.0,3.0,3.0,4.0
120,4.0,4.0,3.0,4.0,4.0,7.0
121,4.0,4.0,3.0,,3.0,4.0
122,4.0,4.0,2.0,,3.0,5.0
123,4.0,4.0,3.0,3.0,,5.0
124,,4.0,3.0,4.0,,5.0
125,3.0,4.0,2.0,4.0,,5.0
126,7.0,5.0,4.0,3.0,2.0,4.0
127,6.0,5.0,3.0,4.0,4.0,4.0
128,4.0,4.0,2.0,7.0,5.0,4.0
129,4.0,2.0,2.0,3.0,,3.0
130,3.0,3.0,3.0,3.0,4.0,3.0
131,3.0,5.0,3.0,5.0,2.0,3.0
132,8.0,4.0,,4.0,,3.0
133,4.0,4.0,3.0,4.0,2.0,4.0
134,5.0,5.0,2.0,4.0,2.0,4.0
135,5.0,4.0,3.0,7.0,3.0,3.0
136,5.0,5.0,3.0,6.0,3.0,3.0
137,5.0,4.0,4.0,5.0,3.0,4.0
138,7.0,4.0,3.0,5.0,2.0,3.0
139,4.0,2.0,3.0,4.0,2.0,3.0
140,2.0,4.0,4.0,4.0,3.0,3.0
141,3.0,4.0,3.0,3.0,2.0,3.0
142,2.0,4.0,3.0,3.0,3.0,4.0
143,2.0,4.0,3.0,4.0,3.0,4.0
144,3.0,4.0,3.0,5.0,3.0,3.0
145,2.0,4.0,3.0,3.0,3.0,4.0
146,3.0,4.0,3.0,3.0,4.0,3.0
147,3.0,4.0,3.0,3.0,4.0,3.0
148,3.0,4.0,3.0,4.0,4.0,3.0
149,7.0,4.0,2.0,4.0,3.0,3.0
150,4.0,3.0,3.0,4.0,3.0,4.0
151,4.0,4.0,3.0,4.0,4.0,4.0
152,3.0,4.0,2.0,3.0,3.0,3.0
153,4.0,4.0,3.0,3.0,3.0,4.0
154,4.0,3.0,2.0,4.0,3.0,4.0
155,3.0,3.0,2.0,4.0,3.0,3.0
156,8.0,4.0,2.0,4.0,3.0,4.0
157,3.0,2.0,2.0,4.0,3.0,4.0
158,5.0,3.0,2.0,4.0,3.0,3.0
159,4.0,3.0,2.0,3.0,3.0,3.0
160,4.0,2.0,2.0,3.0,4.0,3.0
161,3.0,3.0,2.0,4.0,4.0,3.0
162,3.0,3.0,2.0,3.0,3.0,3.0
163,2.0,3.0,3.0,3.0,3.0,3.0
164,2.0,3.0,3.0,3.0,3.0,3.0
165,3.0,3.0,3.0,4.0,4.0,3.0
166,2.0,3.0,3.0,3.0,4.0,3.0
167,3.0,3.0,3.0,3.0,4.0,4.0
168,3.0,3.0,4.0,3.0,4.0,3.0
169,3.0,2.0,4.0,4.0,4.0,3.0
170,3.0,2.0,4.0,3.0,3.0,3.0
171,3.0,3.0,4.0,3.0,3.0,3.0
