,Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Metrics,Is_Exception
0,Montrose Beach,2013-08-30T08:00:00,20.3,1.18,0.891,0.08,3.0,9.4,MontroseBeach201308300800,539.72,1
1,Ohio Street Beach,2016-05-26T13:00:00,14.4,1.23,,0.111,4.0,12.4,OhioStreetBeach201605261300,471.42,1
2,Calumet Beach,2013-09-03T16:00:00,23.2,3.63,1.201,0.174,3.532434931959308,9.4,CalumetBeach201309031600,750.1173047958779,1
3,Calumet Beach,2014-05-28T12:00:00,16.2,1.26,1.514,0.147,4.0,11.7,CalumetBeach201405281200,561.54,1
4,Montrose Beach,2014-05-28T12:00:00,14.4,3.36,1.388,0.298,4.0,11.9,MontroseBeach201405281200,760.44,1
5,Montrose Beach,2014-05-28T13:00:00,14.5,2.72,1.395,0.306,3.0,11.9,MontroseBeach201405281300,768.88,1
6,Calumet Beach,2014-05-28T13:00:00,16.3,1.28,1.524,0.162,4.0,11.7,CalumetBeach201405281300,586.12,1
7,Montrose Beach,2014-05-28T14:00:00,14.8,2.97,1.386,0.328,3.0,11.9,MontroseBeach201405281400,808.88,1
8,Calumet Beach,2014-05-28T14:00:00,16.5,1.32,1.537,0.185,4.0,11.7,CalumetBeach201405281400,624.78,1
9,Calumet Beach,2014-05-28T15:00:00,16.8,1.31,1.568,0.196,4.0,11.7,CalumetBeach201405281500,647.24,1
10,Montrose Beach,2014-05-28T15:00:00,14.5,4.3,1.377,0.328,3.0,11.9,MontroseBeach201405281500,808.2,1
11,Calumet Beach,2014-05-28T16:00:00,17.1,1.37,1.52,0.194,4.0,11.7,CalumetBeach201405281600,650.48,1
12,Montrose Beach,2014-05-28T16:00:00,14.4,4.87,1.366,0.341,3.0,11.9,MontroseBeach201405281600,827.98,1
13,Calumet Beach,2014-05-28T17:00:00,17.2,1.48,1.525,0.203,4.0,11.7,CalumetBeach201405281700,666.4200000000001,1
14,Montrose Beach,2014-05-28T17:00:00,14.1,5.06,1.382,0.34,4.0,11.9,MontroseBeach201405281700,824.24,1
15,Montrose Beach,2014-05-28T18:00:00,14.2,5.76,1.415,0.356,3.0,11.9,MontroseBeach201405281800,850.04,1
16,Calumet Beach,2014-05-28T18:00:00,17.1,1.8,1.501,0.188,4.0,11.7,CalumetBeach201405281800,643.2,1
17,Calumet Beach,2014-05-28T19:00:00,17.0,1.82,1.487,0.194,4.0,11.7,CalumetBeach201405281900,650.28,1
18,Montrose Beach,2014-05-28T19:00:00,14.2,6.32,1.386,0.346,3.0,11.9,MontroseBeach201405281900,837.28,1
19,Montrose Beach,2014-05-28T20:00:00,14.4,6.89,1.401,0.38,4.0,11.9,MontroseBeach201405282000,897.56,1
20,Calumet Beach,2014-05-28T20:00:00,17.0,1.83,1.488,0.196,4.0,11.7,CalumetBeach201405282000,653.3199999999999,1
21,Montrose Beach,2014-05-28T21:00:00,14.5,7.11,1.374,0.361,5.0,11.9,MontroseBeach201405282100,874.94,1
22,Calumet Beach,2014-05-28T21:00:00,16.8,1.9,1.494,0.181,4.0,11.7,CalumetBeach201405282100,627.1,1
23,Montrose Beach,2014-05-28T22:00:00,14.5,6.88,1.413,0.345,4.0,11.9,MontroseBeach201405282200,847.02,1
24,Calumet Beach,2014-05-28T22:00:00,16.7,1.83,1.467,0.18,4.0,11.7,CalumetBeach201405282200,623.3199999999999,1
25,Montrose Beach,2014-05-28T23:00:00,14.3,7.32,1.406,0.331,4.0,11.9,MontroseBeach201405282300,823.78,1
26,Calumet Beach,2014-05-28T23:00:00,16.5,1.69,1.548,0.177,4.0,11.7,CalumetBeach201405282300,614.26,1
27,Calumet Beach,2014-05-29T01:00:00,16.3,1.62,1.519,0.159,4.0,11.7,CalumetBeach201405290100,582.98,1
28,Montrose Beach,2014-05-29T01:00:00,14.2,7.18,1.46,0.305,4.0,11.9,MontroseBeach201405290100,782.22,1
29,Montrose Beach,2014-05-29T02:00:00,14.2,6.35,1.45,0.321,3.0,11.9,MontroseBeach201405290200,799.9,1
30,Calumet Beach,2014-05-29T02:00:00,16.2,1.57,1.535,0.154,4.0,11.7,CalumetBeach201405290200,573.28,1
31,Calumet Beach,2014-05-29T03:00:00,16.1,1.8,1.557,0.163,4.0,11.7,CalumetBeach201405290300,585.7,1
32,Montrose Beach,2014-05-29T03:00:00,14.1,6.78,1.468,0.285,4.0,11.8,MontroseBeach201405290300,748.6199999999999,1
33,Calumet Beach,2014-05-29T04:00:00,16.1,1.82,1.507,0.156,4.0,11.7,CalumetBeach201405290400,575.28,1
34,Montrose Beach,2014-05-29T04:00:00,14.1,6.27,1.456,0.306,3.0,11.8,MontroseBeach201405290400,775.0799999999999,1
35,Montrose Beach,2014-05-29T05:00:00,14.0,5.63,1.421,0.282,3.0,11.8,MontroseBeach201405290500,734.52,1
36,Calumet Beach,2014-05-29T05:00:00,15.9,1.73,1.513,0.158,3.0,11.7,CalumetBeach201405290500,570.9200000000001,1
37,Calumet Beach,2014-05-29T06:00:00,15.9,1.73,1.508,0.151,3.0,11.7,CalumetBeach201405290600,560.4200000000001,1
